time,open,high,low,close,volume,ticker
2020-11-24,94240,94500,92880,93390,1937130,VNM
2020-11-25,93390,94590,92960,94150,2190900,VNM
2020-11-26,94500,94500,93140,93650,1490270,VNM
2020-11-27,93650,93650,92620,93560,2823860,VNM
2020-11-30,93560,93740,92040,92200,2687040,VNM
2020-12-01,91440,93560,91350,93480,2493230,VNM
2020-12-02,93390,93560,92620,92880,1332460,VNM
2020-12-03,92880,93650,92700,93300,1108730,VNM
2020-12-04,93300,93480,92700,92880,1571130,VNM
2020-12-07,93740,94500,92700,93740,1970400,VNM
2020-12-08,93830,93980,92880,93060,1468350,VNM
2020-12-09,93740,93830,93140,93480,1701940,VNM
2020-12-10,93980,97050,93980,95440,6077770,VNM
2020-12-11,95440,96130,95270,95950,2297940,VNM
2020-12-14,96130,96630,95770,96630,2535300,VNM
2020-12-15,96280,96550,94420,94750,4572910,VNM
2020-12-16,94750,95690,94330,95100,2106480,VNM
2020-12-17,94590,94590,93980,94070,2951870,VNM
2020-12-18,94150,94590,93740,94070,3342900,VNM
2020-12-21,94070,94930,93910,94590,2341080,VNM
2020-12-22,94500,94500,93560,93650,2266760,VNM
2020-12-23,93650,94930,93650,93910,2432590,VNM
2020-12-24,93910,94150,92040,92620,2511360,VNM
2020-12-25,92700,92960,92110,92880,1755510,VNM
2020-12-28,92960,93480,92290,92620,2305300,VNM
2020-12-29,92880,93220,92550,93060,1299700,VNM
2020-12-30,93060,93910,92550,92700,1856600,VNM
2020-12-31,92880,93650,92700,92700,993810,VNM
2021-01-04,93480,93560,92880,93140,2299600,VNM
2021-01-05,93650,96310,93220,95290,4013900,VNM
2021-01-06,95460,95720,94420,94420,2823100,VNM
2021-01-07,94610,95290,94420,94950,2453000,VNM
2021-01-08,95890,97080,95370,96310,3323000,VNM
2021-01-11,96750,99750,96750,99670,4603900,VNM
2021-01-12,100190,100360,99250,100020,2344900,VNM
2021-01-13,100020,100790,98210,98470,2521600,VNM
2021-01-14,98390,98390,96830,97270,3680400,VNM
2021-01-15,97620,99160,97270,97950,2125700,VNM
2021-01-18,98210,98980,97430,97430,2624000,VNM
2021-01-19,97430,97430,92030,92620,3668300,VNM
2021-01-20,93570,94160,91160,93740,3363700,VNM
2021-01-21,94510,95210,93570,94850,2531200,VNM
2021-01-22,94760,95290,93490,93490,2429000,VNM
2021-01-25,93650,94340,92880,93060,2554800,VNM
2021-01-26,92960,93300,90290,91760,2596900,VNM
2021-01-27,91160,91840,88150,88830,3153800,VNM
2021-01-28,86000,87640,82640,82640,4565600,VNM
2021-01-29,82560,88410,82560,88410,4140500,VNM
2021-02-01,88580,90470,87720,88320,2934800,VNM
2021-02-02,87970,92030,87970,91500,3350900,VNM
2021-02-03,91500,94340,91500,94340,3056500,VNM
2021-02-04,94340,94340,92030,93570,1896800,VNM
2021-02-05,93390,94610,93390,94250,2231200,VNM
2021-02-08,94250,94250,89270,90560,4331600,VNM
2021-02-09,90560,93650,90210,92880,1931700,VNM
2021-02-17,92880,93650,92280,93490,2872300,VNM
2021-02-18,93490,93740,92450,93740,2847400,VNM
2021-02-19,92700,93140,92100,92880,2696500,VNM
2021-02-22,92370,92700,92280,92450,3006200,VNM
2021-02-23,92450,92880,91330,92030,3048400,VNM
2021-02-24,92030,92790,90730,90980,2801000,VNM
2021-02-25,91070,91420,89610,89960,4282900,VNM
2021-02-26,89100,90210,88920,90120,3357800,VNM
2021-03-01,90730,91070,90290,90830,2179000,VNM
2021-03-02,91330,91590,89430,90210,3050100,VNM
2021-03-03,90120,90210,89430,89880,2551300,VNM
2021-03-04,90470,90730,88580,88920,2755100,VNM
2021-03-05,88660,88660,87460,88580,4187600,VNM
2021-03-08,88920,89100,87460,87890,3208200,VNM
2021-03-09,86950,87290,86170,86430,4141900,VNM
2021-03-10,86430,88150,85830,86950,3391300,VNM
2021-03-11,88150,89270,87800,88410,2417000,VNM
2021-03-12,88580,88830,87460,87890,2704600,VNM
2021-03-15,88410,88580,87800,87890,2379400,VNM
2021-03-16,87890,87970,86090,86860,4121100,VNM
2021-03-17,86860,86860,86090,86430,3568400,VNM
2021-03-18,86860,88150,86860,88150,2553400,VNM
2021-03-19,87890,87890,87210,87460,2339400,VNM
2021-03-22,87460,87550,86510,86700,3416300,VNM
2021-03-23,86510,86600,85740,86170,4554300,VNM
2021-03-24,85660,86000,84690,84880,3192200,VNM
2021-03-25,85140,85740,84550,84690,3152700,VNM
2021-03-26,84280,84690,83080,83770,3653700,VNM
2021-03-29,84370,85910,84100,85140,2790300,VNM
2021-03-30,85660,86090,84780,85310,2590400,VNM
2021-03-31,85230,85230,84280,84630,2815600,VNM
2021-04-01,84690,86860,84280,86860,5594000,VNM
2021-04-02,88150,89430,87800,88320,3840000,VNM
2021-04-05,89880,89880,87890,88240,2822700,VNM
2021-04-06,88240,88320,86700,87290,3452600,VNM
2021-04-07,86860,86860,86000,86090,3503700,VNM
2021-04-08,86340,86430,85480,85910,3603800,VNM
2021-04-09,85910,86000,85310,85830,2716700,VNM
2021-04-12,86000,86240,85580,86000,3632400,VNM
2021-04-13,86700,87460,85740,86000,3799100,VNM
2021-04-14,86000,86000,85050,85400,3498500,VNM
2021-04-15,85660,86430,85050,85230,3549400,VNM
2021-04-16,84780,84880,82910,83330,4876400,VNM
2021-04-19,83330,83850,81780,82640,5722900,VNM
2021-04-20,83420,86860,83330,85400,6987200,VNM
2021-04-22,85400,85580,83420,84280,3166300,VNM
2021-04-23,84280,85910,83240,85580,3556800,VNM
2021-04-26,83420,85140,82560,82560,5045600,VNM
2021-04-27,82560,83000,81700,82310,3149400,VNM
2021-04-28,82310,82380,80410,80580,5027100,VNM
2021-04-29,80580,81000,78690,80410,6499700,VNM
2021-05-04,79990,79990,78690,78770,4112800,VNM
2021-05-05,78770,79990,78770,79120,3792300,VNM
